nombre_indicador,SpatialDimType,SpatialDim,SpatialDim_es,TimeDim,Numeric_value
Tasa de fecundidad en adolescentes (nacimientos por 1 000 mujeres de 15 a 19 años),COUNTRY,BRA,Brasil,1996,86.76
Tasa de fecundidad en adolescentes (nacimientos por 1 000 mujeres de 15 a 19 años),COUNTRY,BRA,Brasil,1997,87.621
Tasa de fecundidad en adolescentes (nacimientos por 1 000 mujeres de 15 a 19 años),COUNTRY,BRA,Brasil,1998,88.216
Tasa de fecundidad en adolescentes (nacimientos por 1 000 mujeres de 15 a 19 años),COUNTRY,BRA,Brasil,1999,87.211
Tasa de fecundidad en adolescentes (nacimientos por 1 000 mujeres de 15 a 19 años),COUNTRY,BRA,Brasil,2000,86.362
Tasa de fecundidad en adolescentes (nacimientos por 1 000 mujeres de 15 a 19 años),COUNTRY,BRA,Brasil,2001,85.862
Tasa de fecundidad en adolescentes (nacimientos por 1 000 mujeres de 15 a 19 años),COUNTRY,BRA,Brasil,2002,81.978
Tasa de fecundidad en adolescentes (nacimientos por 1 000 mujeres de 15 a 19 años),COUNTRY,BRA,Brasil,2003,78.704
Tasa de fecundidad en adolescentes (nacimientos por 1 000 mujeres de 15 a 19 años),COUNTRY,BRA,Brasil,2004,78.351
Tasa de fecundidad en adolescentes (nacimientos por 1 000 mujeres de 15 a 19 años),COUNTRY,BRA,Brasil,2005,77.864
Tasa de fecundidad en adolescentes (nacimientos por 1 000 mujeres de 15 a 19 años),COUNTRY,BRA,Brasil,2006,75.657
Tasa de fecundidad en adolescentes (nacimientos por 1 000 mujeres de 15 a 19 años),COUNTRY,BRA,Brasil,2007,73.105
Tasa de fecundidad en adolescentes (nacimientos por 1 000 mujeres de 15 a 19 años),COUNTRY,BRA,Brasil,2008,69.789
Tasa de fecundidad en adolescentes (nacimientos por 1 000 mujeres de 15 a 19 años),COUNTRY,BRA,Brasil,2009,67.881
Tasa de fecundidad en adolescentes (nacimientos por 1 000 mujeres de 15 a 19 años),COUNTRY,BRA,Brasil,2010,66.179
Tasa de fecundidad en adolescentes (nacimientos por 1 000 mujeres de 15 a 19 años),COUNTRY,BRA,Brasil,2011,65.23
Tasa de fecundidad en adolescentes (nacimientos por 1 000 mujeres de 15 a 19 años),COUNTRY,BRA,Brasil,2012,63.675
Tasa de fecundidad en adolescentes (nacimientos por 1 000 mujeres de 15 a 19 años),COUNTRY,BRA,Brasil,2013,62.936
Tasa de fecundidad en adolescentes (nacimientos por 1 000 mujeres de 15 a 19 años),COUNTRY,BRA,Brasil,2014,63.12
Tasa de fecundidad en adolescentes (nacimientos por 1 000 mujeres de 15 a 19 años),COUNTRY,BRA,Brasil,2015,62.434
Tasa de fecundidad en adolescentes (nacimientos por 1 000 mujeres de 15 a 19 años),COUNTRY,BRA,Brasil,2016,57.88
Tasa de fecundidad en adolescentes (nacimientos por 1 000 mujeres de 15 a 19 años),COUNTRY,BRA,Brasil,2017,55.566
Tasa de fecundidad en adolescentes (nacimientos por 1 000 mujeres de 15 a 19 años),COUNTRY,BRA,Brasil,2018,53.436
Tasa de fecundidad en adolescentes (nacimientos por 1 000 mujeres de 15 a 19 años),COUNTRY,BRA,Brasil,2019,50.015
Tasa de fecundidad en adolescentes (nacimientos por 1 000 mujeres de 15 a 19 años),COUNTRY,BRA,Brasil,2020,46.296
Tasa de fecundidad en adolescentes (nacimientos por 1 000 mujeres de 15 a 19 años),COUNTRY,BRA,Brasil,2021,45.2
Tasa de fecundidad en adolescentes (nacimientos por 1 000 mujeres de 15 a 19 años),COUNTRY,BRA,Brasil,2022,43.582
Tasa de fecundidad en adolescentes (nacimientos por 1 000 mujeres de 15 a 19 años),COUNTRY,BRA,Brasil,2023,42.369
Tasa de fecundidad en adolescentes (nacimientos por 1 000 mujeres de 15 a 19 años),COUNTRY,BRA,Brasil,2024,41.203
Tasa de fecundidad en adolescentes (nacimientos por 1 000 mujeres de 15 a 19 años),COUNTRY,BRB,Barbados,1995,55.938
Tasa de fecundidad en adolescentes (nacimientos por 1 000 mujeres de 15 a 19 años),COUNTRY,BRB,Barbados,1996,56.26
Tasa de fecundidad en adolescentes (nacimientos por 1 000 mujeres de 15 a 19 años),COUNTRY,BRB,Barbados,1997,55.827
Tasa de fecundidad en adolescentes (nacimientos por 1 000 mujeres de 15 a 19 años),COUNTRY,BRB,Barbados,1998,55.928
Tasa de fecundidad en adolescentes (nacimientos por 1 000 mujeres de 15 a 19 años),COUNTRY,BRB,Barbados,1999,52.703
Tasa de fecundidad en adolescentes (nacimientos por 1 000 mujeres de 15 a 19 años),COUNTRY,BRB,Barbados,2000,53.139
Tasa de fecundidad en adolescentes (nacimientos por 1 000 mujeres de 15 a 19 años),COUNTRY,BRB,Barbados,2001,54.927
Tasa de fecundidad en adolescentes (nacimientos por 1 000 mujeres de 15 a 19 años),COUNTRY,BRB,Barbados,2002,53.007
Tasa de fecundidad en adolescentes (nacimientos por 1 000 mujeres de 15 a 19 años),COUNTRY,BRB,Barbados,2003,51.115
Tasa de fecundidad en adolescentes (nacimientos por 1 000 mujeres de 15 a 19 años),COUNTRY,BRB,Barbados,2004,49.185
Tasa de fecundidad en adolescentes (nacimientos por 1 000 mujeres de 15 a 19 años),COUNTRY,BRB,Barbados,2005,47.61
Tasa de fecundidad en adolescentes (nacimientos por 1 000 mujeres de 15 a 19 años),COUNTRY,BRB,Barbados,2006,46.114
Tasa de fecundidad en adolescentes (nacimientos por 1 000 mujeres de 15 a 19 años),COUNTRY,BRB,Barbados,2007,46.1
Tasa de fecundidad en adolescentes (nacimientos por 1 000 mujeres de 15 a 19 años),COUNTRY,BRB,Barbados,2008,45.655
Tasa de fecundidad en adolescentes (nacimientos por 1 000 mujeres de 15 a 19 años),COUNTRY,BRB,Barbados,2009,45.758
Tasa de fecundidad en adolescentes (nacimientos por 1 000 mujeres de 15 a 19 años),COUNTRY,BRB,Barbados,2010,45.138
Tasa de fecundidad en adolescentes (nacimientos por 1 000 mujeres de 15 a 19 años),COUNTRY,BRB,Barbados,2011,44.533
Tasa de fecundidad en adolescentes (nacimientos por 1 000 mujeres de 15 a 19 años),COUNTRY,BRB,Barbados,2012,43.017
Tasa de fecundidad en adolescentes (nacimientos por 1 000 mujeres de 15 a 19 años),COUNTRY,BRB,Barbados,2013,42.192
Tasa de fecundidad en adolescentes (nacimientos por 1 000 mujeres de 15 a 19 años),COUNTRY,BRB,Barbados,2014,41.888
Tasa de fecundidad en adolescentes (nacimientos por 1 000 mujeres de 15 a 19 años),COUNTRY,BRB,Barbados,2015,41.555
Tasa de fecundidad en adolescentes (nacimientos por 1 000 mujeres de 15 a 19 años),COUNTRY,BRB,Barbados,2016,41.218
Tasa de fecundidad en adolescentes (nacimientos por 1 000 mujeres de 15 a 19 años),COUNTRY,BRB,Barbados,2017,41.438
Tasa de fecundidad en adolescentes (nacimientos por 1 000 mujeres de 15 a 19 años),COUNTRY,BRB,Barbados,2018,42.154
Tasa de fecundidad en adolescentes (nacimientos por 1 000 mujeres de 15 a 19 años),COUNTRY,BRB,Barbados,2019,42.163
Tasa de fecundidad en adolescentes (nacimientos por 1 000 mujeres de 15 a 19 años),COUNTRY,BRB,Barbados,2020,42.421
Tasa de fecundidad en adolescentes (nacimientos por 1 000 mujeres de 15 a 19 años),COUNTRY,BRB,Barbados,2021,42.297
Tasa de fecundidad en adolescentes (nacimientos por 1 000 mujeres de 15 a 19 años),COUNTRY,BRB,Barbados,2022,41.864
Tasa de fecundidad en adolescentes (nacimientos por 1 000 mujeres de 15 a 19 años),COUNTRY,BRB,Barbados,2023,40.723
Tasa de fecundidad en adolescentes (nacimientos por 1 000 mujeres de 15 a 19 años),COUNTRY,BRB,Barbados,2024,39.714
Tasa de fecundidad en adolescentes (nacimientos por 1 000 mujeres de 15 a 19 años),COUNTRY,CHL,Chile,1995,70.773
Tasa de fecundidad en adolescentes (nacimientos por 1 000 mujeres de 15 a 19 años),COUNTRY,CHL,Chile,1996,70.067
Tasa de fecundidad en adolescentes (nacimientos por 1 000 mujeres de 15 a 19 años),COUNTRY,CHL,Chile,1997,68.82
Tasa de fecundidad en adolescentes (nacimientos por 1 000 mujeres de 15 a 19 años),COUNTRY,CHL,Chile,1998,67.308
Tasa de fecundidad en adolescentes (nacimientos por 1 000 mujeres de 15 a 19 años),COUNTRY,CHL,Chile,1999,63.882
Tasa de fecundidad en adolescentes (nacimientos por 1 000 mujeres de 15 a 19 años),COUNTRY,CHL,Chile,2000,61.305
Tasa de fecundidad en adolescentes (nacimientos por 1 000 mujeres de 15 a 19 años),COUNTRY,CHL,Chile,2001,59.139
Tasa de fecundidad en adolescentes (nacimientos por 1 000 mujeres de 15 a 19 años),COUNTRY,CHL,Chile,2002,56.22
Tasa de fecundidad en adolescentes (nacimientos por 1 000 mujeres de 15 a 19 años),COUNTRY,CHL,Chile,2003,51.278
Tasa de fecundidad en adolescentes (nacimientos por 1 000 mujeres de 15 a 19 años),COUNTRY,CHL,Chile,2004,49.294
Tasa de fecundidad en adolescentes (nacimientos por 1 000 mujeres de 15 a 19 años),COUNTRY,CHL,Chile,2005,50.171
Tasa de fecundidad en adolescentes (nacimientos por 1 000 mujeres de 15 a 19 años),COUNTRY,CHL,Chile,2006,52.213
Tasa de fecundidad en adolescentes (nacimientos por 1 000 mujeres de 15 a 19 años),COUNTRY,CHL,Chile,2007,53.95
Tasa de fecundidad en adolescentes (nacimientos por 1 000 mujeres de 15 a 19 años),COUNTRY,CHL,Chile,2008,55.42
Tasa de fecundidad en adolescentes (nacimientos por 1 000 mujeres de 15 a 19 años),COUNTRY,CHL,Chile,2009,54.403
Tasa de fecundidad en adolescentes (nacimientos por 1 000 mujeres de 15 a 19 años),COUNTRY,CHL,Chile,2010,53.205
Tasa de fecundidad en adolescentes (nacimientos por 1 000 mujeres de 15 a 19 años),COUNTRY,CHL,Chile,2011,52.145
Tasa de fecundidad en adolescentes (nacimientos por 1 000 mujeres de 15 a 19 años),COUNTRY,CHL,Chile,2012,50.989
Tasa de fecundidad en adolescentes (nacimientos por 1 000 mujeres de 15 a 19 años),COUNTRY,CHL,Chile,2013,48.368
Tasa de fecundidad en adolescentes (nacimientos por 1 000 mujeres de 15 a 19 años),COUNTRY,CHL,Chile,2014,44.832
Tasa de fecundidad en adolescentes (nacimientos por 1 000 mujeres de 15 a 19 años),COUNTRY,CHL,Chile,2015,40.067
Tasa de fecundidad en adolescentes (nacimientos por 1 000 mujeres de 15 a 19 años),COUNTRY,CHL,Chile,2016,34.096
Tasa de fecundidad en adolescentes (nacimientos por 1 000 mujeres de 15 a 19 años),COUNTRY,CHL,Chile,2017,27.979
Tasa de fecundidad en adolescentes (nacimientos por 1 000 mujeres de 15 a 19 años),COUNTRY,CHL,Chile,2018,24.292
Tasa de fecundidad en adolescentes (nacimientos por 1 000 mujeres de 15 a 19 años),COUNTRY,CHL,Chile,2019,24.127
Tasa de fecundidad en adolescentes (nacimientos por 1 000 mujeres de 15 a 19 años),COUNTRY,CHL,Chile,2020,24.08
Tasa de fecundidad en adolescentes (nacimientos por 1 000 mujeres de 15 a 19 años),COUNTRY,CHL,Chile,2021,24.082
Tasa de fecundidad en adolescentes (nacimientos por 1 000 mujeres de 15 a 19 años),COUNTRY,CHL,Chile,2022,22.793
Tasa de fecundidad en adolescentes (nacimientos por 1 000 mujeres de 15 a 19 años),COUNTRY,CHL,Chile,2023,21.302
