nombre_indicador,SpatialDimType,SpatialDim,SpatialDim_es,TimeDim,Numeric_value,Porcentaje_embarazo_juvenil
Tasa de fecundidad en adolescentes (nacimientos por 1 000 mujeres de 15 a 19 años),COUNTRY,AIA,Anguila,2022,29.825,2.9825
Tasa de fecundidad en adolescentes (nacimientos por 1 000 mujeres de 15 a 19 años),COUNTRY,AIA,Anguila,2023,29.151,2.9151
Tasa de fecundidad en adolescentes (nacimientos por 1 000 mujeres de 15 a 19 años),COUNTRY,AIA,Anguila,2024,28.821,2.8821000000000003
Tasa de fecundidad en adolescentes (nacimientos por 1 000 mujeres de 15 a 19 años),COUNTRY,ARG,Argentina,1995,72.81,7.281000000000001
Tasa de fecundidad en adolescentes (nacimientos por 1 000 mujeres de 15 a 19 años),COUNTRY,ARG,Argentina,1996,71.39,7.139
Tasa de fecundidad en adolescentes (nacimientos por 1 000 mujeres de 15 a 19 años),COUNTRY,ARG,Argentina,1997,70.424,7.042400000000001
Tasa de fecundidad en adolescentes (nacimientos por 1 000 mujeres de 15 a 19 años),COUNTRY,ARG,Argentina,1998,69.307,6.9307
Tasa de fecundidad en adolescentes (nacimientos por 1 000 mujeres de 15 a 19 años),COUNTRY,ARG,Argentina,1999,68.268,6.8268
Tasa de fecundidad en adolescentes (nacimientos por 1 000 mujeres de 15 a 19 años),COUNTRY,ARG,Argentina,2000,66.54,6.654000000000001
Tasa de fecundidad en adolescentes (nacimientos por 1 000 mujeres de 15 a 19 años),COUNTRY,ARG,Argentina,2001,64.0,6.4
Tasa de fecundidad en adolescentes (nacimientos por 1 000 mujeres de 15 a 19 años),COUNTRY,ARG,Argentina,2002,63.078,6.3078
Tasa de fecundidad en adolescentes (nacimientos por 1 000 mujeres de 15 a 19 años),COUNTRY,ARG,Argentina,2003,60.281,6.0281
Tasa de fecundidad en adolescentes (nacimientos por 1 000 mujeres de 15 a 19 años),COUNTRY,ARG,Argentina,2004,62.62,6.262
Tasa de fecundidad en adolescentes (nacimientos por 1 000 mujeres de 15 a 19 años),COUNTRY,ARG,Argentina,2005,64.877,6.487699999999999
Tasa de fecundidad en adolescentes (nacimientos por 1 000 mujeres de 15 a 19 años),COUNTRY,ARG,Argentina,2006,64.07,6.406999999999999
Tasa de fecundidad en adolescentes (nacimientos por 1 000 mujeres de 15 a 19 años),COUNTRY,ARG,Argentina,2007,66.424,6.6424
Tasa de fecundidad en adolescentes (nacimientos por 1 000 mujeres de 15 a 19 años),COUNTRY,ARG,Argentina,2008,66.149,6.6149000000000004
Tasa de fecundidad en adolescentes (nacimientos por 1 000 mujeres de 15 a 19 años),COUNTRY,ARG,Argentina,2009,66.695,6.669499999999999
Tasa de fecundidad en adolescentes (nacimientos por 1 000 mujeres de 15 a 19 años),COUNTRY,ARG,Argentina,2010,67.064,6.7063999999999995
Tasa de fecundidad en adolescentes (nacimientos por 1 000 mujeres de 15 a 19 años),COUNTRY,ARG,Argentina,2011,68.264,6.8264
Tasa de fecundidad en adolescentes (nacimientos por 1 000 mujeres de 15 a 19 años),COUNTRY,ARG,Argentina,2012,68.719,6.871899999999999
Tasa de fecundidad en adolescentes (nacimientos por 1 000 mujeres de 15 a 19 años),COUNTRY,ARG,Argentina,2013,69.167,6.9167000000000005
Tasa de fecundidad en adolescentes (nacimientos por 1 000 mujeres de 15 a 19 años),COUNTRY,ARG,Argentina,2014,67.791,6.7791
Tasa de fecundidad en adolescentes (nacimientos por 1 000 mujeres de 15 a 19 años),COUNTRY,ARG,Argentina,2015,65.395,6.539499999999999
Tasa de fecundidad en adolescentes (nacimientos por 1 000 mujeres de 15 a 19 años),COUNTRY,ARG,Argentina,2016,61.852,6.1852
Tasa de fecundidad en adolescentes (nacimientos por 1 000 mujeres de 15 a 19 años),COUNTRY,ARG,Argentina,2017,57.783,5.7783
Tasa de fecundidad en adolescentes (nacimientos por 1 000 mujeres de 15 a 19 años),COUNTRY,ARG,Argentina,2018,51.029,5.1029
Tasa de fecundidad en adolescentes (nacimientos por 1 000 mujeres de 15 a 19 años),COUNTRY,ARG,Argentina,2019,46.153,4.6152999999999995
Tasa de fecundidad en adolescentes (nacimientos por 1 000 mujeres de 15 a 19 años),COUNTRY,ARG,Argentina,2020,39.866,3.9866
Tasa de fecundidad en adolescentes (nacimientos por 1 000 mujeres de 15 a 19 años),COUNTRY,ARG,Argentina,2021,39.065,3.9065
Tasa de fecundidad en adolescentes (nacimientos por 1 000 mujeres de 15 a 19 años),COUNTRY,ARG,Argentina,2022,37.932,3.7932
Tasa de fecundidad en adolescentes (nacimientos por 1 000 mujeres de 15 a 19 años),COUNTRY,ARG,Argentina,2023,36.829,3.6829
Tasa de fecundidad en adolescentes (nacimientos por 1 000 mujeres de 15 a 19 años),COUNTRY,ARG,Argentina,2024,35.853,3.5853
Tasa de fecundidad en adolescentes (nacimientos por 1 000 mujeres de 15 a 19 años),COUNTRY,ATG,Antigua y Barbuda,1995,69.521,6.9521
Tasa de fecundidad en adolescentes (nacimientos por 1 000 mujeres de 15 a 19 años),COUNTRY,ATG,Antigua y Barbuda,1996,70.121,7.012099999999999
Tasa de fecundidad en adolescentes (nacimientos por 1 000 mujeres de 15 a 19 años),COUNTRY,ATG,Antigua y Barbuda,1997,64.099,6.4099
Tasa de fecundidad en adolescentes (nacimientos por 1 000 mujeres de 15 a 19 años),COUNTRY,ATG,Antigua y Barbuda,1998,58.318,5.831799999999999
Tasa de fecundidad en adolescentes (nacimientos por 1 000 mujeres de 15 a 19 años),COUNTRY,ATG,Antigua y Barbuda,1999,57.002,5.700200000000001
